MARBLE,,,,,,
SKU,Description,Size,Finish,Thickness,Price,Type
MX8177,GASCOGNE BLUE 18X36 HONED LIMESTONE,18x36,Honed,"1/2""",$7.45,Tile
MX8147,GASCOGNE BLUE HONED LIMESTONE SLAB,Slab,Honed,"3/4"" (2cm)",$9.35,Slab
MX8148,LAGOS BLUE HONED LIMESTONE SLAB,Slab,Honed,"3/4"" (2cm)",$8.50,Slab
MX8110,MOCHA CREAM 12X12 HONED LIMESTONE,12x12,Honed,"3/8"" (8.5mm)",$6.05,Tile
MX8194,MOCHA CREAM 12X24 BRUSHED LIMESTONE,12x24,Brushed,"1/2""",$6.05,Tile
MX8158,MOCHA CREAM 12X24 HONED LIMESTONE,12X24,Honed,"1/2""",$6.05,Tile
MX8174,MOCHA CREAM 12X24 HONED LIMESTONE CROSS CUT,12X24,Honed,"1/2""",$5.50,Tile
MX8118,MOCHA CREAM 18X18 HONED LIMESTONE,18x18,Honed,"1/2""",$6.35,Tile
MX8186,MOCHA CREAM 18X36 BRUSHED LIMESTONE,18x36,Brushed,"1/2""",$7.15,Tile
MX8179,MOCHA CREAM 18X36 HONED LIMESTONE,18x36,Honed,"1/2""",$7.15,Tile
MX8192,MOCHA CREAM 24X48 BRUSHED LIMESTONE,24X48,Brushed,"3/4"" (2cm)",$8.55,Tile
MX8149,MOCHA CREAM HONED LIMESTONE SLAB,Slab,Honed,"3/4"" (2cm)",$9.10,Slab
MX8112,PORTO BEIGE 12X12 HONED LIMESTONE,12x12,Honed,"3/8"" (8.5mm)",$6.05,Tile
MX8159,PORTO BEIGE 12X24 HONED LIMESTONE,12x24,Honed,"1/2""",$6.05,Tile
MX8127,PORTO BEIGE 18X18 HONED LIMESTONE,18x18,Honed,"1/2""",$6.35,Tile
MX8184,PORTO BEIGE 18X36 BRUSHED LIMESTONE,18X36,Brushed,"1/2""",$7.15,Tile
MX8178,PORTO BEIGE 18X36 HONED LIMESTONE,18x36,Honed,"1/2""",$7.15,Tile
MX8185,PORTO BEIGE 24X24 HONED LIMESTONE,24x24,Honed,"1/2""",$6.60,Tile
MX8195,PORTO BEIGE 24X36 HONED LIMESTONE,24x36,Honed,"1/2""",$7.80,Tile
MX8150,PORTO BEIGE HONED LIMESTONE SLABS,Slab,Honed,"3/4"" (2cm)",$9.10,Slab
MX8133,RUSTIC GREEN 12X12 HONED LIMESTONE,12x12,Honed,"3/8"" (8.5mm)",$4.75,Tile
MX8121,RUSTIC GREEN 12X12 POLISHED LIMESTONE,12x12,Polished,"3/8"" (8.5mm)",$5.15,Tile
MX8117,RUSTIC GREEN 18X18 HONED LIMESTONE,18x18,Honed,"1/2""",$4.95,Tile
MX8115,RUSTIC GREEN 18X18 POLISHED LIMESTONE,18x18,Polished,"1/2""",$5.55,Tile
MX8143,RUSTIC GREEN 3X6 LIMESTONE TUMBLED,3x6,Antique,"3/8"" (8.5mm)",$4.35,Subway tile
MX8141,RUSTIC GREEN 4X4 LIMESTONE TUMBLED,4x4,Antique,"3/8"" (8.5mm)",$4.35,Tile
MX8142,RUSTIC GREEN 6X6 LIMESTONE TUMBLED,6x6,Antique,"3/8"" (8.5mm)",$4.35,Tile
,,,,,,
TRAVERTINE,,,,,,
SKU,Description,Size,Finish,Thickness,Price,Type
MX3T,CLASSICO 12X12 CROSS CUT FILLED HONED TRAVERTINE,12x12,Honed,"3/8"" (8.5mm)",$4.70,Tile
MX4T,CLASSICO 12X12 CROSS CUT FILLED POLISHED TRAVERTINE,12x12,Polished,"3/8"" (8.5mm)",$4.50,Tile
MX65T,CLASSICO 12X12 VEIN CUT FILLED POLISHED TRAVERTINE,12x12,Polished,"3/8"" (8.5mm)",$5.00,Tile
MX41T,CLASSICO 12X24 CROSS CUT FILLED HONED TRAVERTINE,12x24,Honed,"1/2"" (12mm)",$4.70,Tile
