CODE,STOCK NAME,FINISH,PRICE PER SQ.FT,PRICE PER BOX/SLAB,SQ.FT PER BOX,PIECES PER BOX,COLLECTION,THICKNESS
MXCER-71,Timeless Amani Grey Porcelain Tile 24x48,Polished,$6.00,$93.00,15.50,2,Timeless Series/Florim,9mm
MXCER-70,Timeless Amani Grey Porcelain Tile 24x48,Matte,$5.50,$85.25,15.50,2,Timeless Series/Florim,9mm
MXCER-105,Timeless Calacatta Porcelain Tile 24x24,Polished,$5.50,$63.86,11.61,3,Timeless Series/Florim,9mm
MXCER-106,Timeless Calacatta Porcelain Tile 24x48,Polished,$6.25,$96.88,15.50,2,Timeless Series/Florim,9mm
MXCER-164,Timeless Calacatta Porcelain Tile 24x48,Honed,$5.50,$85.25,15.50,2,Timeless Series/Florim,9mm
MX210206,Newker Tresor Décor Silver Porcelain Tile 13x36,Matte,$2.50,$30.35,12.14,4,Tresor Series/Newker,8.5mm
MX210204,Newker Tresor Décor White Porcelain Tile 13x36,Matte,$2.50,$30.35,12.14,4,Tresor Series/Newker,8.5mm
MX210200,Newker Tresor White Porcelain Tile 13x36,Matte,$2.50,$30.35,12.14,4,Tresor Series/Newker,8.5mm
MXCER-69,Trinity Lux Black 12X24 Polished Porcelain Tile | 8.5Mm,Polished,$2.00,$23.24,11.62,6,Trinity Series / Azteca,8.5mm
MXCER-68,Trinity Lux Graphite 12X24 Polished Porcelain Tile | 8.5Mm,Polished,$2.00,$23.24,11.62,6,Trinity Series / Azteca,8.5mm
MXCER-67,Trinity Lux Superwhite 12X24 Polished Porcelain Tile | 8.5Mm,Polished,$2.00,$23.24,11.62,6,Trinity Series / Azteca,8.5mm
MXCER-78,Trust Black Honed Porcelain Tile 12x24,Honed,$2.50,$38.70,15.48,8,Trust Series/Abitare La Ceramica,8.2mm
MXCER-79,Trust Black Brushed Porcelain Tile 12x24,Brushed,$2.50,$38.95,15.58,8,Trust Series/Abitare La Ceramica,8.2mm
MXCER-81,Trust Grey Brushed Porcelain Tile 12x24,Brushed,$2.50,$38.95,15.58,8,Trust Series/Abitare La Ceramica,8.2mm
MXCER-80,Trust Grey Porcelain Tile 12x24,Honed,$2.50,$38.70,15.48,8,Trust Series/Abitare La Ceramica,8.2mm
MXCER-82,Trust Muretto Mix Porcelain Tile 12x24,Honed,$2.50,$33.88,13.55,7,Trust Series/Abitare La Ceramica,9mm
MXCER-84,Trust White Brushed Porcelain Tile 12x24,Brushed,$2.50,$38.95,15.58,8,Trust Series/Abitare La Ceramica,8.2mm
MXCER-83,Trust White Porcelain Tile 12x24,Honed,$2.50,$38.70,15.48,8,Trust Series/Abitare La Ceramica,8.2mm
