vendor,product_name,collection,variant_name,product_color,conflicting_url_color,asset_type,url
Arizona Tile,Fraser River Carrara W Black,Fraser River,"10-1/4x12-1/2, Polished",black,grey,alternate,https://arizonatile.widen.net/content/zoboigfkfv/webp/Fraser-River-Thassos-with-Grey.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Fraser River Thassos W Blue,Fraser River,"10-1/4x12-1/2, Polished",blue,black,alternate,https://arizonatile.widen.net/content/clrxcagy58/jpeg/Fraser-River-Carrara-with-Black.jpeg?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Fraser River Thassos W Blue,Fraser River,"10-1/4x12-1/2, Polished",blue,grey,alternate,https://arizonatile.widen.net/content/zoboigfkfv/webp/Fraser-River-Thassos-with-Grey.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Fraser River Thassos W Grey,Fraser River,"10-1/4x12-1/2, Polished",grey,black,alternate,https://arizonatile.widen.net/content/clrxcagy58/jpeg/Fraser-River-Carrara-with-Black.jpeg?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Fraser River Thassos W Grey,Fraser River,"10-1/4x12-1/2, Polished",grey,blue,alternate,https://arizonatile.widen.net/content/gifygs0orn/webp/Fraser-River-Thassos-with-Blue.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Black,Fray Metal (Fragment),2x2 Mosaic,black,white,alternate,https://arizonatile.widen.net/content/x9svbr9pqk/webp/Fray-Metal-White-Composite.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Gray,Fray Metal (Fragment),12x24,gray,white,alternate,https://arizonatile.widen.net/content/x9svbr9pqk/webp/Fray-Metal-White-Composite.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Ivory,Futura,"24x24 Paver, R11 Finish",ivory,beige,alternate,https://arizonatile.widen.net/content/grjmea22uk/webp/MyHome_Futura_Beige_12x24_2x2-mosaic_Residential.webp?w=765&h=765&keep=e&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Futura,"24x48, Matte",ivory,beige,lifestyle,https://arizonatile.widen.net/content/grjmea22uk/webp/MyHome_Futura_Beige_12x24_2x2-mosaic_Residential.webp?w=765&h=765&keep=e&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Futura,"24x48, R11 Finish",ivory,beige,alternate,https://arizonatile.widen.net/content/grjmea22uk/webp/MyHome_Futura_Beige_12x24_2x2-mosaic_Residential.webp?w=765&h=765&keep=e&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Futura,"2x2 Mosaic, Matte",ivory,beige,alternate,https://arizonatile.widen.net/content/grjmea22uk/webp/MyHome_Futura_Beige_12x24_2x2-mosaic_Residential.webp?w=765&h=765&keep=e&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Futura,"2x2 Mosaic, Matte",ivory,beige,primary,https://arizonatile.widen.net/content/grjmea22uk/webp/MyHome_Futura_Beige_12x24_2x2-mosaic_Residential.webp?w=765&h=765&keep=e&crop=yes&quality=80&x.app=portals
Arizona Tile,Silver,Futura,"24x24 Paver, R11 Finish",silver,beige,alternate,https://arizonatile.widen.net/content/grjmea22uk/webp/MyHome_Futura_Beige_12x24_2x2-mosaic_Residential.webp?w=765&h=765&keep=e&crop=yes&quality=80&x.app=portals
Arizona Tile,Silver,Futura,"24x48, Matte",silver,beige,lifestyle,https://arizonatile.widen.net/content/grjmea22uk/webp/MyHome_Futura_Beige_12x24_2x2-mosaic_Residential.webp?w=765&h=765&keep=e&crop=yes&quality=80&x.app=portals
Arizona Tile,Silver,Futura,"24x48, R11 Finish",silver,beige,alternate,https://arizonatile.widen.net/content/grjmea22uk/webp/MyHome_Futura_Beige_12x24_2x2-mosaic_Residential.webp?w=765&h=765&keep=e&crop=yes&quality=80&x.app=portals
Arizona Tile,Silver,Futura,"2x2 Mosaic, Matte",silver,beige,alternate,https://arizonatile.widen.net/content/grjmea22uk/webp/MyHome_Futura_Beige_12x24_2x2-mosaic_Residential.webp?w=765&h=765&keep=e&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Industrial,"12x24, R11 Finish",ivory,taupe,alternate,https://arizonatile.widen.net/content/x6lr7k2wba/webp/39.industrial.taupe.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Industrial,"12x24, R11 Finish",ivory,taupe,primary,https://arizonatile.widen.net/content/x6lr7k2wba/webp/39.industrial.taupe.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Industrial,"24x48, Matte",ivory,taupe,primary,https://arizonatile.widen.net/content/x6lr7k2wba/webp/39.industrial.taupe.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Industrial,"2x2 Mosaic, Matte",ivory,taupe,primary,https://arizonatile.widen.net/content/x6lr7k2wba/webp/39.industrial.taupe.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Industrial,"48x48, Matte",ivory,taupe,alternate,https://arizonatile.widen.net/content/x6lr7k2wba/webp/39.industrial.taupe.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Looming Stream Thassos Black,Looming Stream,"10-1/4x12-1/2, Polished",black,blue,alternate,https://arizonatile.widen.net/content/uizlcaqjth/webp/Looming-Stream-Thassos_Blue.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Looming Stream Thassos Black,Looming Stream,"10-1/4x12-1/2, Polished",black,grey,alternate,https://arizonatile.widen.net/content/uwpyrbhghh/webp/Looming-Stream-Thassos_Grey.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Looming Stream Thassos Blue,Looming Stream,"10-1/4x12-1/2, Polished",blue,black,alternate,https://arizonatile.widen.net/content/dymua9rtct/webp/LOOMING-STREAM---THASSOS-WITH-BLACK-RANGE-.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Looming Stream Thassos Blue,Looming Stream,"10-1/4x12-1/2, Polished",blue,grey,alternate,https://arizonatile.widen.net/content/uwpyrbhghh/webp/Looming-Stream-Thassos_Grey.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Looming Stream Thassos Grey,Looming Stream,"10-1/4x12-1/2, Polished",grey,black,alternate,https://arizonatile.widen.net/content/dymua9rtct/webp/LOOMING-STREAM---THASSOS-WITH-BLACK-RANGE-.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Looming Stream Thassos Grey,Looming Stream,"10-1/4x12-1/2, Polished",grey,blue,alternate,https://arizonatile.widen.net/content/uizlcaqjth/webp/Looming-Stream-Thassos_Blue.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Micro Herringbone W Black Dot,Micro Herringbone,"10-7/8x9-3/4, Polished",black,blue,alternate,https://arizonatile.widen.net/content/1futjioazi/webp/Micro-Herringbone-with-Blue-Dot.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Micro Herringbone W Black Dot,Micro Herringbone,"10-7/8x9-3/4, Polished",black,grey,alternate,https://arizonatile.widen.net/content/tr4rjcgnwe/webp/Micro-Herringbone-with-Grey-Dot.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Micro Herringbone W Blue Dot,Micro Herringbone,"10-7/8x9-3/4, Polished",blue,black,alternate,https://arizonatile.widen.net/content/1jvmtdvytx/jpeg/Micro-Herringbone-with-Black-Dot.jpeg?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Micro Herringbone W Blue Dot,Micro Herringbone,"10-7/8x9-3/4, Polished",blue,grey,alternate,https://arizonatile.widen.net/content/tr4rjcgnwe/webp/Micro-Herringbone-with-Grey-Dot.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Micro Herringbone W Grey Dot,Micro Herringbone,"10-7/8x9-3/4, Polished",grey,black,alternate,https://arizonatile.widen.net/content/1jvmtdvytx/jpeg/Micro-Herringbone-with-Black-Dot.jpeg?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Micro Herringbone W Grey Dot,Micro Herringbone,"10-7/8x9-3/4, Polished",grey,blue,alternate,https://arizonatile.widen.net/content/1futjioazi/webp/Micro-Herringbone-with-Blue-Dot.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Black,Paros,12x12,black,white,alternate,https://arizonatile.widen.net/content/flfa48eo8v/jpeg/Paros_White-BlackCheckerboard-edit.jpg?w=765&h=765&keep=e&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Pebble Mosaics,"12x12 Mesh Sheet, Matte",ivory,beige,alternate,https://arizonatile.widen.net/content/hpy4yqjxxm/webp/Cemento-Cassero-Beige_Flat-Pebble-Warm-Blend_3D-Blade.webp?w=765&h=765&keep=s&crop=yes&quality=80&x.app=portals
Arizona Tile,Black Grey,Pietra Italia,"Stack, Matte",black,beige,alternate,https://arizonatile.widen.net/content/7ec5jpvdco/jpeg/PI-beige-HD-2.jpg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Black Grey,Pietra Italia,"Stack, Matte",grey,beige,alternate,https://arizonatile.widen.net/content/7ec5jpvdco/jpeg/PI-beige-HD-2.jpg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,White,Pietra Italia,"12x24, R11 Finish",white,beige,alternate,https://arizonatile.widen.net/content/7ec5jpvdco/jpeg/PI-beige-HD-2.jpg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Mayflower Red,Quarry Metro,"6x6, Abrasive",red,gray,alternate,https://arizonatile.widen.net/content/8yti2fukfp/webp/57IS_Puritan_Gray_Donut_Shop_11zon.webp?w=765&h=765&keep=s&crop=yes&quality=80&x.app=portals
Arizona Tile,Mayflower Red,Quarry Metro,"6x6, Ironspot",red,gray,alternate,https://arizonatile.widen.net/content/8yti2fukfp/webp/57IS_Puritan_Gray_Donut_Shop_11zon.webp?w=765&h=765&keep=s&crop=yes&quality=80&x.app=portals
