Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
CC4ALD,Moulding,,"*NRB* 2-3/4"" x 3/4"" Radius Corner Moulding, Species: Alder. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",843512046810,0.00000,24.00000,$13.37,$11.63,$19.38
CC4HMP,Moulding,,"*NRB* 2-3/4"" x 3/4"" Radius Corner Moulding, Species: Hard Maple. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",843512030833,0.00000,24.00000,$8.96,$7.79,$12.99
CC4POP,Moulding,,"*NRB* 2-3/4"" x 3/4"" Radius Corner Moulding, Species: Poplar. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",843512039584,24.00000,96.00000,$4.88,$4.24,$7.07
CC5ALD,Moulding,,"*NRB* 2-5/8"" x 3/4"" Reed Corner Moulding, Species: Alder. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536462,0.00000,24.00000,$11.16,$9.70,$16.17
CC5CH,Moulding,,"*NRB* 2-5/8"" x 3/4"" Reed Corner Moulding, Species: Cherry. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536479,0.00000,24.00000,$10.41,$9.05,$15.08
CC5HMP,Moulding,,"*NRB* 2-5/8"" x 3/4"" Reed Corner Moulding, Species: Hard Maple. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",843512044250,0.00000,24.00000,$7.23,$6.29,$10.48
CC5OK,Moulding,,"*NRB* 2-5/8"" x 3/4"" Reed Corner Moulding, Species: Oak. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",843512039430,0.00000,24.00000,$5.51,$4.79,$7.98
CC5POP,Moulding,,"*NRB* 2-5/8"" x 3/4"" Reed Corner Moulding, Species: Poplar. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",843512039911,0.00000,24.00000,$4.21,$3.66,$6.10
CMR150CH,Moulding,,"*NRB* 1-1/2"" Column Moulding Half Round Reed Pattern. Species: Cherry. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",,0.00000,24.00000,$10.53,$9.16,$15.27
CONCOV-5-HMP,Moulding,,"*NRB* 3/4"" x 5""  Contemporary Cove Moulding with Steps, Species: Hard Maple",840002547079,0.00000,56.00000,$12.59,$10.95,$18.25
CONCR4-HMP,Moulding,,"*NRB* 3/4"" x 4-1/4"" Contemporary Cove Crown, Species: Hard Maple. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002547000,0.00000,24.00000,$10.95,$9.52,$15.86
CONCR4-POP,Moulding,,"3/4"" x 4-1/4"" Contemporary Cove Crown, Species: Paint Grade. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002547017,24.00000,48.00000,$8.30,$7.22,$12.04
CONCR5-HMP,Moulding,,"3/4"" x 4-1/2"" Contemporary Cove Crown, Species: Hard Maple. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002547024,0.00000,24.00000,$12.59,$10.95,$18.25
CONCR5-POP,Moulding,,"3/4"" x 5"" Contemporary Cove Crown, Species: Paint Grade. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002547031,24.00000,48.00000,$9.38,$8.16,$13.59
COV-3-CH,Moulding,,"*NRB* 3/4"" x 3"" Cove Moulding, Species: Cherry. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536288,0.00000,24.00000,$9.19,$7.99,$13.32
COV-3-HMP,Moulding,,"3/4"" x 3"" Cove Moulding, Species: Hard Maple. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536257,24.00000,48.00000,$9.14,$7.95,$13.25
COV-3-OK,Moulding,,"*NRB* 3/4"" x 3"" Cove Moulding, Species: Oak. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536264,0.00000,24.00000,$7.00,$6.09,$10.15
COV-3-POP,Moulding,,"3/4"" x 3"" Cove Moulding, Species: Poplar. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536271,24.00000,48.00000,$6.54,$5.69,$9.49
COV-4-ALD,Moulding,,"**NRB** 3/4"" x 4"" Cove Moulding, Species: Alder. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536295,24.00000,48.00000,$14.59,$12.69,$21.14
COV-4-HMP,Moulding,,"3/4"" x 4"" Cove Moulding, Species: Hard Maple. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536301,24.00000,48.00000,$10.95,$9.52,$15.86
COV-4-OK,Moulding,,"3/4"" x 4"" Cove Moulding, Species: Oak. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536318,24.00000,48.00000,$8.30,$7.22,$12.04
COV-4-POP,Moulding,,"3/4"" x 4"" Cove Moulding, Species: Poplar. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536325,24.00000,48.00000,$7.64,$6.64,$11.07
COV-5-ALD,Moulding,,"**NRB** 3/4"" x 5"" Cove Moulding, Species: Alder. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536349,24.00000,48.00000,$16.77,$14.58,$24.30
COV-5-HMP,Moulding,,"3/4"" x 5"" Cove Moulding, Species: Hard Maple. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536363,24.00000,48.00000,$12.68,$11.03,$18.39
COV-5-OK,Moulding,,"3/4"" x 5"" Cove Moulding, Species: Oak. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536370,24.00000,48.00000,$9.52,$8.28,$13.80
COV-5-POP,Moulding,,"3/4"" x 5"" Cove Moulding, Species: Poplar. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536387,24.00000,48.00000,$8.61,$7.49,$12.49
COV-6-CH,Moulding,,"*NRB* 3/4"" x 6"" Cove Moulding, Species: Cherry. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536431,0.00000,24.00000,$14.46,$12.57,$20.95
COV-6-HMP,Moulding,,"3/4"" x 6"" Cove Moulding, Species: Hard Maple. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536400,24.00000,48.00000,$16.33,$14.20,$23.67
COV-6-OK,Moulding,,"*NRB* 3/4"" x 6"" Cove Moulding, Species: Oak. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536417,0.00000,24.00000,$10.87,$9.45,$15.76
COV-6-POP,Moulding,,"3/4"" x 6"" Cove Moulding, Species: Poplar. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002536424,24.00000,48.00000,$9.71,$8.44,$14.06
